epoch,NRMSE,loss,lr,val_NRMSE,val_loss
0,0.4341638684272766,0.4392676055431366,0.05,0.56891930103302,0.19513669610023499
1,0.7373817563056946,0.07384344190359116,0.05,0.9222639203071594,0.008645281195640564
2,0.8707492351531982,0.01809568703174591,0.05,0.8483874201774597,0.028973016887903214
3,0.8922094702720642,0.011906074360013008,0.05,0.7744178175926208,0.059625044465065
4,0.886335015296936,0.01337913516908884,0.05,0.777898907661438,0.0576024129986763
5,0.8985922336578369,0.010553435422480106,0.05,0.8562164306640625,0.02690722793340683
6,0.9013683795928955,0.010010456666350365,0.05,0.7928158044815063,0.05072564259171486
7,0.9081997275352478,0.008647916838526726,0.01,0.8049134016036987,0.045571018010377884
8,0.9104407429695129,0.00816407985985279,0.01,0.8075656890869141,0.04446503147482872
9,0.9080736041069031,0.008575410582125187,0.01,0.7934214472770691,0.05052388459444046
10,0.9078987240791321,0.008622510358691216,0.01,0.7962398529052734,0.049004312604665756
11,0.9060134291648865,0.00897438544780016,0.01,0.7905529737472534,0.05150126293301582
