epoch,NRMSE,loss,lr,val_NRMSE,val_loss
0,0.8355926275253296,0.05452375486493111,0.05,0.9366635084152222,0.005671343300491571
1,0.9693557024002075,0.0010761168086901307,0.05,0.9545920491218567,0.0027681556530296803
2,0.9756366014480591,0.0006207656115293503,0.05,0.9498063325881958,0.003122422844171524
3,0.9761545658111572,0.0005818788195028901,0.05,0.9595266580581665,0.002403050661087036
4,0.9750293493270874,0.0006542542832903564,0.05,0.9603939056396484,0.0022129572462290525
5,0.9754449725151062,0.0006186293321661651,0.05,0.921724796295166,0.007037935312837362
6,0.9698415994644165,0.0010076456237584352,0.05,0.9602568745613098,0.0023299779277294874
7,0.976434051990509,0.000573081779293716,0.05,0.9526432156562805,0.002740679308772087
8,0.9792682528495789,0.0004277787229511887,0.01,0.961503803730011,0.002049676375463605
9,0.9802807569503784,0.00040070380782708526,0.01,0.9589883685112,0.0022107120603322983
10,0.9803661108016968,0.0003973084385506809,0.01,0.9630115628242493,0.0019932067953050137
11,0.9805557131767273,0.00038857676554471254,0.01,0.9632517695426941,0.001954738050699234
12,0.9808260798454285,0.00036655939766205847,0.0019999999,0.9632358551025391,0.001941532245837152
13,0.98164302110672,0.00035818616743199527,0.0019999999,0.9633505940437317,0.0019431976834312081
14,0.98127281665802,0.0003603852237574756,0.0019999999,0.9633333086967468,0.0019308507908135653
15,0.9813228845596313,0.00035899438080377877,0.0019999999,0.9626652002334595,0.0019457386806607246
16,0.9814415574073792,0.00035573996137827635,0.00039999996,0.9631785154342651,0.0019248982425779104
17,0.9813550114631653,0.0003530126705300063,0.00039999996,0.9633601903915405,0.0019217729568481445
18,0.9815167188644409,0.00035209007910452783,0.00039999996,0.9634705781936646,0.0019250224577262998
19,0.981082558631897,0.0003509468515403569,7.999999e-05,0.9634135961532593,0.001921110088005662
20,0.9814563393592834,0.0003496334538795054,7.999999e-05,0.9633639454841614,0.0019200884271413088
21,0.9814074039459229,0.0003498534788377583,7.999999e-05,0.9633342027664185,0.0019198155496269464
22,0.9816353917121887,0.0003495604614727199,1.5999998e-05,0.9633351564407349,0.0019197572255507112
23,0.9814779162406921,0.0003495023411232978,1.5999998e-05,0.9633394479751587,0.00191969342995435
24,0.9813306927680969,0.00034944433718919754,1.5999998e-05,0.9633558392524719,0.0019196202047169209
25,0.9815926551818848,0.00034940638579428196,3.1999996e-06,0.9633527994155884,0.0019196073990315199
26,0.9816091060638428,0.00034941648482345045,3.1999996e-06,0.9633529782295227,0.0019195969216525555
27,0.9815171360969543,0.00034941278863698244,3.1999996e-06,0.9633533358573914,0.0019195863278582692
28,0.9812543988227844,0.00034939683973789215,6.3999994e-07,0.9633537530899048,0.0019195848144590855
29,0.98119056224823,0.00034939590841531754,6.3999994e-07,0.9633539319038391,0.0019195834174752235
30,0.9815663695335388,0.00034940146724693477,6.3999994e-07,0.9633527994155884,0.0019195806235074997
31,0.9816403388977051,0.0003493958502076566,1.2799998e-07,0.9633526802062988,0.001919580390676856
32,0.9814342856407166,0.00034939561737701297,1.2799998e-07,0.9633527994155884,0.001919580390676856
33,0.9816765785217285,0.0003493958502076566,1.2799998e-07,0.9633526802062988,0.0019195795757696033
34,0.9815150499343872,0.0003493954718578607,2.5599997e-08,0.9633526802062988,0.001919579808600247
35,0.9814046025276184,0.00034939555916935205,2.5599997e-08,0.9633526802062988,0.0019195800414308906
36,0.9816541075706482,0.0003493956755846739,2.5599997e-08,0.9633526802062988,0.0019195800414308906
37,0.9814324378967285,0.0003493955300655216,5.1199995e-09,0.9633526802062988,0.0019195800414308906
38,0.98143470287323,0.00034939555916935205,5.1199995e-09,0.9633526802062988,0.001919580390676856
0,0.8644205927848816,0.027366291731595993,0.001,0.9539106488227844,0.0029942437540739775
1,0.9471859335899353,0.0028232031036168337,0.001,0.929092288017273,0.006356923375278711
2,0.9541967511177063,0.002201288938522339,0.001,0.9120646715164185,0.009335746988654137
3,0.9571533799171448,0.0019071123097091913,0.001,0.9374598264694214,0.005093700252473354
