epoch,NRMSE,loss,lr,val_NRMSE,val_loss
0,0.7864615321159363,0.05986311659216881,0.05,0.7856873273849487,0.048148758709430695
1,0.9515019059181213,0.0027528239879757166,0.05,0.9282212257385254,0.007552183233201504
2,0.9629666805267334,0.0013739824062213302,0.05,0.931580662727356,0.006880809552967548
3,0.9646226763725281,0.0012851891806349158,0.05,0.9330207705497742,0.0066262101754546165
4,0.9653547406196594,0.001203684019856155,0.05,0.9333120584487915,0.00663492176681757
5,0.9653995633125305,0.001217245007865131,0.05,0.9333803057670593,0.006721245590597391
6,0.965610921382904,0.0012376500526443124,0.05,0.9337857961654663,0.006658823695033789
7,0.9668074250221252,0.0011598618002608418,0.01,0.9347606897354126,0.00636893417686224
8,0.9662939310073853,0.0011527987662702799,0.01,0.9346404075622559,0.006247343495488167
9,0.9660181999206543,0.001157505321316421,0.01,0.93455970287323,0.006238405592739582
10,0.96624356508255,0.0011535106459632516,0.01,0.9346581697463989,0.006236772984266281
11,0.9668867588043213,0.0011484151473268867,0.01,0.9344911575317383,0.006238378118723631
12,0.9668660163879395,0.001132198260165751,0.0019999999,0.934794545173645,0.006228594109416008
13,0.9659584164619446,0.0011252118274569511,0.0019999999,0.9344215393066406,0.006238305475562811
14,0.9666925668716431,0.0011397396447136998,0.0019999999,0.9349255561828613,0.006224778015166521
15,0.9672656655311584,0.0011224928312003613,0.00039999996,0.9347723722457886,0.006221842020750046
16,0.966940701007843,0.0011237935395911336,0.00039999996,0.9347749948501587,0.006222760304808617
17,0.9665607810020447,0.0011241077445447445,0.00039999996,0.9347845315933228,0.006222913041710854
18,0.9671427011489868,0.001122158020734787,7.999999e-05,0.9347952604293823,0.006223096512258053
19,0.9669676423072815,0.0011223915498703718,7.999999e-05,0.9348044395446777,0.006223077420145273
20,0.9671562314033508,0.001122355810366571,7.999999e-05,0.9348031282424927,0.006223251577466726
