epoch,NRMSE,loss,lr,val_NRMSE,val_loss
0,0.8408669233322144,0.053360264748334885,0.05,0.8769881129264832,0.018919574096798897
1,0.9545830488204956,0.0022273475769907236,0.05,0.9104412198066711,0.010589378885924816
2,0.966106653213501,0.0012024552561342716,0.05,0.9268515706062317,0.008332965895533562
3,0.967675507068634,0.0010522983502596617,0.05,0.9401447176933289,0.00489710783585906
4,0.9660906791687012,0.0011851181043311954,0.05,0.9076977968215942,0.013225841335952282
5,0.9675176739692688,0.0011028555454686284,0.05,0.8995454907417297,0.013204711489379406
6,0.9693563580513,0.000995885580778122,0.05,0.9121290445327759,0.011305443942546844
7,0.9703354835510254,0.000932869384996593,0.05,0.8800853490829468,0.0200184416025877
8,0.9698078036308289,0.0009114741696976125,0.05,0.9133313894271851,0.01326802559196949
9,0.9740737676620483,0.0006883305031806231,0.01,0.9288037419319153,0.008779361844062805
10,0.9740666747093201,0.0006770447362214327,0.01,0.9333346486091614,0.007934813387691975
11,0.9738343358039856,0.0007102221716195345,0.01,0.9347158670425415,0.007583944592624903
12,0.9748308658599854,0.0006439192220568657,0.01,0.9269685745239258,0.008756060153245926
13,0.9749200940132141,0.0006450224900618196,0.01,0.9375897645950317,0.006525816861540079
