Date,B3SA3,PETR4,KLBN11,IBOV
2014-01-23,3.25,15.470000267028809,11.744000434875488,48321.0
2014-01-24,3.233333110809326,15.100000381469727,11.744000434875488,47787.0
2014-01-27,3.299999952316284,15.109999656677246,11.744000434875488,47701.0
2014-01-28,3.2799999713897705,15.050000190734863,12.586000442504883,47841.0
2014-01-29,3.1700000762939453,14.800000190734863,12.350000381469727,47557.0
2014-01-30,3.1333329677581787,14.699999809265137,12.199999809265137,47244.0
2014-01-31,3.1966660022735596,14.699999809265137,12.399999618530273,47639.0
2014-02-03,3.0766661167144775,13.850000381469727,12.0,46148.0
2014-02-04,3.103332996368408,14.09000015258789,11.600000381469727,46964.0
2014-02-05,3.1500000953674316,13.829999923706055,11.34000015258789,46624.0
2014-02-06,3.303333044052124,14.210000038146973,11.600000381469727,47738.0
2014-02-07,3.2066659927368164,14.449999809265137,11.800000190734863,48074.0
2014-02-10,3.166666030883789,14.609999656677246,11.918000221252441,47711.0
2014-02-11,3.236665964126587,14.960000038146973,12.0,48463.0
2014-02-12,3.123332977294922,14.960000038146973,12.197999954223633,48217.0
2014-02-13,3.0799999237060547,14.609999656677246,12.260000228881836,47813.0
2014-02-14,3.1933329105377197,14.579999923706055,12.498000144958496,48201.0
2014-02-17,3.1566660404205322,14.430000305175781,12.520000457763672,47576.0
2014-02-18,3.0899999141693115,14.109999656677246,12.300000190734863,46600.0
2014-02-19,3.1866660118103027,14.199999809265137,12.100000381469727,47151.0
2014-02-20,3.1566660404205322,14.15999984741211,12.131999969482422,47289.0
2014-02-21,3.2066659927368164,14.149999618530273,12.079999923706055,47380.0
2014-02-24,3.233333110809326,14.5,11.857999801635742,47393.0
2014-02-25,3.2100000381469727,14.180000305175781,11.73799991607666,46716.0
2014-02-26,3.173332929611206,13.699999809265137,11.579999923706055,46599.0
2014-02-27,3.356666088104248,14.039999961853027,11.793999671936035,47607.0
2014-02-28,3.356666088104248,13.59000015258789,11.597999572753906,47094.0
2014-03-05,3.3333330154418945,13.289999961853027,11.430000305175781,46589.0
2014-03-06,3.4000000953674316,13.430000305175781,11.29800033569336,47093.0
2014-03-07,3.423332929611206,13.319999694824219,11.0600004196167,46244.0
2014-03-10,3.3499999046325684,13.010000228881836,10.680000305175781,45533.0
2014-03-11,3.296665906906128,13.109999656677246,10.604000091552734,45698.0
2014-03-12,3.299999952316284,13.319999694824219,10.928000450134277,45862.0
2014-03-13,3.2833330631256104,13.029999732971191,10.795999526977539,45444.0
2014-03-14,3.2633330821990967,12.779999732971191,10.800000190734863,44966.0
2014-03-17,3.346666097640991,12.569999694824219,10.680000305175781,45118.0
2014-03-18,3.426666021347046,12.970000267028809,11.157999992370605,46150.0
2014-03-19,3.4700000286102295,13.34000015258789,11.246000289916992,46567.0
2014-03-20,3.4966659545898438,13.989999771118164,11.276000022888184,47278.0
2014-03-21,3.450000047683716,14.020000457763672,11.079999923706055,47381.0
2014-03-24,3.4966659545898438,14.420000076293945,11.07800006866455,47993.0
2014-03-25,3.4733328819274902,14.479999542236328,11.319999694824219,48180.0
2014-03-26,3.433332920074463,14.399999618530273,11.239999771118164,47966.0
2014-03-27,3.5833330154418945,15.569999694824219,11.489999771118164,49647.0
2014-03-28,3.6500000953674316,15.65999984741211,11.489999771118164,49768.0
2014-03-31,3.75,15.779999732971191,11.640000343322754,50415.0
2014-04-01,3.619999885559082,15.8100004196167,11.579999923706055,50270.0
2014-04-02,3.7566659450531006,15.5600004196167,11.970000267028809,51701.0
2014-04-03,3.75333309173584,15.399999618530273,12.0,51408.0
2014-04-04,3.7799999713897705,15.4399995803833,12.09000015258789,51082.0
